Application Name,Date,Customer Initiated Transactions_Volume (Mn),Customer Initiated Transactions_Value (Cr),B2C Transactions_Volume (Mn),B2C Transactions_Value (Cr),B2B Transactions_Volume (Mn),B2B Transactions_Value (Cr),On0us Transactions_Volume (Mn),On0us Transactions_Value (Cr),Total_Volume (Mn),Total_Value (Cr),year,Month,Avg_Transaction_Value,average_transaction,Year
AIRTEL PAYMENTS BANK APPS,2022-01-01,8.53,2047.45,0.0,0.0,0.0,0.0,4.69,2682.32,13.22,4729.77,2022,2022-01,357.77382753403936,357.77382753403936,2022
ALLAHABAD BANK APP,2022-01-01,0.02,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.02,7.36,2022,2022-01,368.0,368.0,2022
AMAZON PAY,2022-01-01,73.5,6729.66,0.0,0.0,0.0,0.0,0.0,0.0,73.5,6729.66,2022,2022-01,91.56,91.56,2022
AU SMALL FINANCE BANK APPS,2022-01-01,0.23,81.15,0.0,0.0,0.0,0.0,0.0,0.0,0.23,81.15,2022,2022-01,352.82608695652175,352.82608695652175,2022
AXIS BANK APPS,2022-01-01,6.78,1058.77,40.47,34.25,0.0,0.0,0.0,0.0,47.25,1093.02,2022,2022-01,23.132698412698414,23.132698412698414,2022
BAJAJ FINSERV,2022-01-01,0.24,12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.24,12.88,2022,2022-01,53.66666666666667,53.66666666666667,2022
BANK OF BARODA APPS,2022-01-01,0.71,342.85,0.0,0.0,0.0,0.0,0.0,0.0,0.71,342.85,2022,2022-01,482.887323943662,482.887323943662,2022
BANK OF INDIA APP,2022-01-01,0.05,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.05,20.23,2022,2022-01,404.59999999999997,404.59999999999997,2022
BANK OF MAHARASHTRA APPS,2022-01-01,0.05,12.46,0.0,0.0,0.0,0.0,0.0,0.0,0.05,12.46,2022,2022-01,249.20000000000002,249.20000000000002,2022
BHIM,2022-01-01,25.82,8511.91,0.0,0.0,0.0,0.0,0.0,0.0,25.82,8511.91,2022,2022-01,329.6634391944229,329.6634391944229,2022
CANARA BANK APPS,2022-01-01,0.26,98.95,0.0,0.0,0.0,0.0,0.0,0.0,0.26,98.95,2022,2022-01,380.5769230769231,380.5769230769231,2022
CENTRAL BANK OF INDIA APPS,2022-01-01,0.13,47.33,0.0,0.0,0.0,0.0,0.0,0.0,0.13,47.33,2022,2022-01,364.07692307692304,364.07692307692304,2022
CITI BANK APPS,2022-01-01,0.09,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.09,77.8,2022,2022-01,864.4444444444445,864.4444444444445,2022
CITY UNION BANK APPS,2022-01-01,0.02,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.92,2022,2022-01,246.0,246.0,2022
COINTAB,2022-01-01,1.21,179.22,0.0,0.0,0.0,0.0,0.0,0.0,1.21,179.22,2022,2022-01,148.11570247933884,148.11570247933884,2022
CRED,2022-01-01,10.68,14189.86,0.0,0.0,0.0,0.0,0.0,0.0,10.68,14189.86,2022,2022-01,1328.6385767790264,1328.6385767790264,2022
DBS DIGIBANK APPS,2022-01-01,0.51,186.79,0.0,0.0,0.0,0.0,0.0,0.0,0.51,186.79,2022,2022-01,366.2549019607843,366.2549019607843,2022
DENA BANK APP,2022-01-01,0.02,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,26.5,2022,2022-01,1325.0,1325.0,2022
DEUTSCHE BANK APPS,2022-01-01,0.92,61.95,0.0,0.0,0.0,0.13,0.0,0.0,0.92,62.08,2022,2022-01,67.47826086956522,67.47826086956522,2022
DHANLAXMI BANK APPS,2022-01-01,0.01,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.95,2022,2022-01,295.0,295.0,2022
FEDERAL BANK APPS,2022-01-01,0.54,109.25,0.0,0.0,0.0,0.0,0.0,0.0,0.54,109.25,2022,2022-01,202.3148148148148,202.3148148148148,2022
FINO PAYMENTS BANK APPS,2022-01-01,0.03,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.79,2022,2022-01,93.0,93.0,2022
